ID;Edad;Peso_kg;Nivel;Objetivo;Dias_Entrenamiento;Plantilla_JSON
1;49;90;Intermedio;Hipertrofia;4;"{""dia_1"": [{""grupo"": ""Pecho"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Pecho"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Pecho"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Triceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Triceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Triceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}], ""dia_2"": [{""grupo"": ""Espalda"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Espalda"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Espalda"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Biceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Biceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Biceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}], ""dia_3"": [{""grupo"": ""Piernas"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Piernas"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Piernas"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Piernas"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Gemelos"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Gemelos"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}], ""dia_4"": [{""grupo"": ""Hombros"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Hombros"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Hombros"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Hombros"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Core"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Core"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}]}"
2;26;71;Principiante;Perdida_Peso;3;"{""dia_1"": [{""grupo"": ""Pecho"", ""dificultad"": ""Principiante"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Pecho"", ""dificultad"": ""Principiante"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Pecho"", ""dificultad"": ""Principiante"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Triceps"", ""dificultad"": ""Principiante"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Triceps"", ""dificultad"": ""Principiante"", ""series"": 3, ""reps"": ""15-20""}], ""dia_2"": [{""grupo"": ""Espalda"", ""dificultad"": ""Principiante"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Espalda"", ""dificultad"": ""Principiante"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Espalda"", ""dificultad"": ""Principiante"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Biceps"", ""dificultad"": ""Principiante"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Biceps"", ""dificultad"": ""Principiante"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Hombros"", ""dificultad"": ""Principiante"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Hombros"", ""dificultad"": ""Principiante"", ""series"": 3, ""reps"": ""15-20""}], ""dia_3"": [{""grupo"": ""Piernas"", ""dificultad"": ""Principiante"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Piernas"", ""dificultad"": ""Principiante"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Piernas"", ""dificultad"": ""Principiante"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Gemelos"", ""dificultad"": ""Principiante"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Core"", ""dificultad"": ""Principiante"", ""series"": 3, ""reps"": ""15-20""}]}"
3;36;118;Avanzado;Hipertrofia;3;"{""dia_1"": [{""grupo"": ""Pecho"", ""dificultad"": ""Avanzado"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Pecho"", ""dificultad"": ""Avanzado"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Pecho"", ""dificultad"": ""Avanzado"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Triceps"", ""dificultad"": ""Avanzado"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Triceps"", ""dificultad"": ""Avanzado"", ""series"": 4, ""reps"": ""8-12""}], ""dia_2"": [{""grupo"": ""Espalda"", ""dificultad"": ""Avanzado"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Espalda"", ""dificultad"": ""Avanzado"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Espalda"", ""dificultad"": ""Avanzado"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Biceps"", ""dificultad"": ""Avanzado"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Biceps"", ""dificultad"": ""Avanzado"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Hombros"", ""dificultad"": ""Avanzado"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Hombros"", ""dificultad"": ""Avanzado"", ""series"": 4, ""reps"": ""8-12""}], ""dia_3"": [{""grupo"": ""Piernas"", ""dificultad"": ""Avanzado"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Piernas"", ""dificultad"": ""Avanzado"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Piernas"", ""dificultad"": ""Avanzado"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Gemelos"", ""dificultad"": ""Avanzado"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Core"", ""dificultad"": ""Avanzado"", ""series"": 4, ""reps"": ""8-12""}]}"
4;35;82;Principiante;Hipertrofia;3;"{""dia_1"": [{""grupo"": ""Pecho"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Pecho"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Pecho"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Triceps"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Triceps"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}], ""dia_2"": [{""grupo"": ""Espalda"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Espalda"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Espalda"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Biceps"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Biceps"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Hombros"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Hombros"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}], ""dia_3"": [{""grupo"": ""Piernas"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Piernas"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Piernas"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Gemelos"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Core"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}]}"
5;59;92;Intermedio;Hipertrofia;4;"{""dia_1"": [{""grupo"": ""Pecho"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Pecho"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Pecho"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Triceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Triceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Triceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}], ""dia_2"": [{""grupo"": ""Espalda"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Espalda"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Espalda"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Biceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Biceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Biceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}], ""dia_3"": [{""grupo"": ""Piernas"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Piernas"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Piernas"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Piernas"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Gemelos"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Gemelos"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}], ""dia_4"": [{""grupo"": ""Hombros"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Hombros"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Hombros"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Hombros"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Core"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Core"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}]}"
6;44;88;Principiante;Hipertrofia;4;"{""dia_1"": [{""grupo"": ""Pecho"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Pecho"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Pecho"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Triceps"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Triceps"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Triceps"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}], ""dia_2"": [{""grupo"": ""Espalda"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Espalda"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Espalda"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Biceps"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Biceps"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Biceps"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}], ""dia_3"": [{""grupo"": ""Piernas"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Piernas"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Piernas"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Piernas"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Gemelos"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Gemelos"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}], ""dia_4"": [{""grupo"": ""Hombros"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Hombros"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Hombros"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Hombros"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Core"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Core"", ""dificultad"": ""Principiante"", ""series"": 4, ""reps"": ""8-12""}]}"
7;57;72;Intermedio;Hipertrofia;4;"{""dia_1"": [{""grupo"": ""Pecho"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Pecho"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Pecho"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Triceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Triceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Triceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}], ""dia_2"": [{""grupo"": ""Espalda"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Espalda"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Espalda"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Biceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Biceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Biceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}], ""dia_3"": [{""grupo"": ""Piernas"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Piernas"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Piernas"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Piernas"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Gemelos"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Gemelos"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}], ""dia_4"": [{""grupo"": ""Hombros"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Hombros"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Hombros"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Hombros"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Core"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Core"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}]}"
8;38;65;Intermedio;Hipertrofia;3;"{""dia_1"": [{""grupo"": ""Pecho"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Pecho"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Pecho"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Triceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Triceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}], ""dia_2"": [{""grupo"": ""Espalda"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Espalda"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Espalda"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Biceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Biceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Hombros"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Hombros"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}], ""dia_3"": [{""grupo"": ""Piernas"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Piernas"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Piernas"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Gemelos"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Core"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}]}"
9;57;92;Avanzado;Perdida_Peso;4;"{""dia_1"": [{""grupo"": ""Pecho"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Pecho"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Pecho"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Triceps"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Triceps"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Triceps"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}], ""dia_2"": [{""grupo"": ""Espalda"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Espalda"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Espalda"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Biceps"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Biceps"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Biceps"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}], ""dia_3"": [{""grupo"": ""Piernas"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Piernas"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Piernas"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Piernas"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Gemelos"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Gemelos"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}], ""dia_4"": [{""grupo"": ""Hombros"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Hombros"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Hombros"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Hombros"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Core"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}, {""grupo"": ""Core"", ""dificultad"": ""Avanzado"", ""series"": 3, ""reps"": ""15-20""}]}"
10;32;111;Intermedio;Hipertrofia;3;"{""dia_1"": [{""grupo"": ""Pecho"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Pecho"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Pecho"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Triceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Triceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}], ""dia_2"": [{""grupo"": ""Espalda"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Espalda"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Espalda"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Biceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Biceps"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Hombros"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Hombros"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}], ""dia_3"": [{""grupo"": ""Piernas"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Piernas"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Piernas"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Gemelos"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}, {""grupo"": ""Core"", ""dificultad"": ""Intermedio"", ""series"": 4, ""reps"": ""8-12""}]}"
